x_m,y_m  # Perfil superior (revolución eje x).
0.000000000000000000e+00,0.000000000000000000e+00
1.713394132211998322e-05,6.714370049590942405e-05
6.853149515110013295e-05,1.898897664091455360e-04
1.541798521390094767e-04,3.487845782232804406e-04
2.740576669196554283e-04,5.368484932322614917e-04
4.281350634284350910e-04,7.500162212043013461e-04
6.163736423479324695e-04,9.855166546199945789e-04
8.387264906779324548e-04,1.241289684000491250e-03
1.095138193427058933e-03,1.515715247312564469e-03
1.385544847423395183e-03,1.807467614001072743e-03
1.709874077240485174e-03,2.115429033618793347e-03
2.068045053234806013e-03,2.438634871015764576e-03
2.459968511690194433e-03,2.776236862149047101e-03
2.885546777064250737e-03,3.127477469127759677e-03
3.344673786331130248e-03,3.491671377451344930e-03
3.837235115414668312e-03,3.868191777047600300e-03
4.363108007705264468e-03,4.256459955787548696e-03
4.922161404653394544e-03,4.655937251932654175e-03
5.514255978432163439e-03,5.066118727269435310e-03
6.139244166660718510e-03,5.486528121726122302e-03
6.796970209179850793e-03,5.916713779872124004e-03
7.487270186870777396e-03,6.356245326405085203e-03
8.209972062507106538e-03,6.804710927128520062e-03
8.964895723630230892e-03,7.261715013479179762e-03
9.751853027437048724e-03,7.726876378289516609e-03
1.057064784766915087e-02,8.199826571950483839e-03
1.142107612349154214e-02,8.680208543953328582e-03
1.230292591034894828e-02,9.167675486592852946e-03
1.321597743278676330e-02,9.661889846537827578e-03
1.416000313922376880e-02,1.016252247679808041e-02
1.513476775866270593e-02,1.066925190689227594e-02
1.614002835932479979e-02,1.118176371313725666e-02
1.717553440919336594e-02,1.169974997422269791e-02
1.824102783845173853e-02,1.222290879981084190e-02
1.933624310379960382e-02,1.275094392196340388e-02
2.046090725463198604e-02,1.328356434086097604e-02
2.161474000106429483e-02,1.382048401763122901e-02
2.279745378378634016e-02,1.436142160820576448e-02
2.400875384572826940e-02,1.490610023303358747e-02
2.524833830552012867e-02,1.545424727822941949e-02
2.651589823272701776e-02,1.600559422435945262e-02
2.781111772484109665e-02,1.655987649958844815e-02
2.913367398601104594e-02,1.711683335434991543e-02
3.048323740748963562e-02,1.767620775507061648e-02
3.185947164977902257e-02,1.823774629479337980e-02
3.326203372645375467e-02,1.880119911880833924e-02
3.469057408963999167e-02,1.936631986363011523e-02
3.614473671713040043e-02,1.993286560785317504e-02
3.762415920111208262e-02,2.050059683358534252e-02
3.912847283848645136e-02,2.106927739730402385e-02
4.065730272275758228e-02,2.163867450910506723e-02
4.221026783746688327e-02,2.220855871942317011e-02
4.378698115115036565e-02,2.277870391239757500e-02
4.538704971379491776e-02,2.334888730513969696e-02
4.701007475476982195e-02,2.391888945223230936e-02
4.865565178220867398e-02,2.448849425485362732e-02
5.032337068381718959e-02,2.505748897397606922e-02
5.201281582908190426e-02,2.562566424713945759e-02
5.372356617285396763e-02,2.619281410834234033e-02
5.545519536028231666e-02,2.675873601063455398e-02
5.720727183307039443e-02,2.732323085102900465e-02
5.897935893702947741e-02,2.788610299738182238e-02
6.077101503090198004e-02,2.844716031691809158e-02
6.258179359642782047e-02,2.900621420610532616e-02
6.441124334962605724e-02,2.956307962159938907e-02
6.625890835326435357e-02,3.011757511200804233e-02
6.812432813048810432e-02,3.066952285023550814e-02
7.000703777958089402e-02,3.121874866618813693e-02
7.190656808982769099e-02,3.176508207963649189e-02
7.382244565845219597e-02,3.230835633304284665e-02
7.575419300859848049e-02,3.284840842417570406e-02
7.770132870832845151e-02,3.338507913834437568e-02
7.966336749060468070e-02,3.391821308009747987e-02
8.163982037422902460e-02,3.444765870423863174e-02
8.363019478570719867e-02,3.497326834602183798e-02
8.563399468200828812e-02,3.549489825039726237e-02
8.765072067418912261e-02,3.601240860018585510e-02
8.967987015185241439e-02,3.652566354306839569e-02
9.172093740840785159e-02,3.703453121728145225e-02
9.377341376710475462e-02,3.753888377591871328e-02
9.583678770780500178e-02,3.803859740974237930e-02
9.791054499446459614e-02,3.853355236841475573e-02
9.999416880329206614e-02,3.902363298006533004e-02
1.020871398515517253e-01,3.950872766911386197e-02
1.041889365269798168e-01,3.998872897227469941e-02
1.062990350177813736e-01,4.046353355267198054e-02
1.084169094431748775e-01,4.093304221199998288e-02
1.105420319844530180e-01,4.139715990066688417e-02
1.126738730165259411e-01,4.185579572586432817e-02
1.148119012399151095e-01,4.230886295750929671e-02
1.169555838131641212e-01,4.275627903200839020e-02
1.191043864856341228e-01,4.319796555379844250e-02
1.212577737306501507e-01,4.363384829462113590e-02
1.234152088789656626e-01,4.406385719049277228e-02
1.255761542525117846e-01,4.448792633633399246e-02
1.277400712983978170e-01,4.490599397822747640e-02
1.299064207231301338e-01,4.531800250327567420e-02
1.320746626270152546e-01,4.572389842703325491e-02
1.342442566387141989e-01,4.612363237849306102e-02
1.364146620499144535e-01,4.651715908260749960e-02
1.385853379500855687e-01,4.690443734033050011e-02
1.407557433612858233e-01,4.728543000616894365e-02
1.429253373729847676e-01,4.766010396323562548e-02
1.450935792768698607e-01,4.802843009579929601e-02
1.472599287016022052e-01,4.839038325933078810e-02
1.494238457474882653e-01,4.874594224804768006e-02
1.515847911210343180e-01,4.909508975996344782e-02
1.537422262693498298e-01,4.943781235945057806e-02
1.558956135143658717e-01,4.977410043733067335e-02
1.580444161868358732e-01,5.010394816850806399e-02
1.601880987600849127e-01,5.042735346716735456e-02
1.623261269834740672e-01,5.074431793955854614e-02
1.644579680155469903e-01,5.105484683439761445e-02
1.665830905568251030e-01,5.135894899091350552e-02
1.687009649822186486e-01,5.165663678457710351e-02
1.708110634730202193e-01,5.194792607055068873e-02
1.729128601484483108e-01,5.223283612490092070e-02
1.750058311967079283e-01,5.251138958362193410e-02
1.770894550055353844e-01,5.278361237951913199e-02
1.791632122921950065e-01,5.304953367700811911e-02
1.812265862328952537e-01,5.330918580488746422e-02
1.832790625915921567e-01,5.356260418714771376e-02
1.853201298481476078e-01,5.380982727188296511e-02
1.873492793258108580e-01,5.405089645837586609e-02
1.893660053179916924e-01,5.428585602243037045e-02
1.913698052142927819e-01,5.451475304003078337e-02
1.933601796257710115e-01,5.473763730940985062e-02
1.953366325093953138e-01,5.495456127161216231e-02
1.972986712916715291e-01,5.516557992964373630e-02
